id,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
1,2023-05-31T00:00:00,29.63172,-90.05523,0.0,303.5,511.0,DANNY BOY,IMO1206681,nan,52.0,15.0,15.0,4.0,0.0,52.0,A
2,2023-05-31T00:00:01,29.9968,-93.94957,0.0,47.1,511.0,GAMBLER,nan,WDK8562,52.0,15.0,19.0,8.0,0.0,52.0,A
3,2023-05-31T00:00:02,39.34187,-74.39329,6.1,317.7,511.0,JIOIA,IMO0000000,WDN2918,36.0,nan,15.0,5.0,nan,nan,B
4,2023-05-31T00:00:02,29.25772,-89.36174,0.1,13.3,511.0,EVEREADY,IMO8973447,WDG7850,60.0,0.0,36.0,7.0,nan,60.0,A
5,2023-05-31T00:00:03,29.6579,-91.12669,3.3,337.1,329.0,JOYCE MAXINE,nan,WDC9281,31.0,5.0,21.0,8.0,nan,57.0,A
6,2023-05-31T00:00:04,30.02146,-93.98423,0.0,120.0,76.0,BRIAN O DANIELS,nan,WDD7438,31.0,12.0,26.0,9.0,nan,31.0,A
7,2023-05-31T00:00:04,26.00827,-79.83897,7.4,296.9,511.0,NIRO,IMO0000000,WDL8330,36.0,nan,16.0,3.0,nan,nan,B
8,2023-05-31T00:00:05,29.17416,-95.10709,7.1,265.4,262.0,CREOLE RIVERS,nan,WDC3300,31.0,15.0,19.0,7.0,nan,57.0,A
9,2023-05-31T00:00:05,41.51805,-69.51257,9.9,150.8,150.0,OCEANUS LEADER,IMO9553488,3FDF7,70.0,0.0,199.0,32.0,10.3,70.0,A
10,2023-05-31T00:00:06,31.9781,-80.34885,11.8,253.4,253.0,ZIM SHEKOU,IMO9322322,A8KX2,70.0,0.0,260.0,32.0,12.6,71.0,A
11,2023-05-31T00:00:00,48.43095,-123.42976,0.0,360.0,511.0,PARKSVILLE,nan,CGKC,52.0,12.0,13.0,5.0,0.0,52.0,A
